Employee ID,Age,Mean(µ),x -µ,(x -µ)2,Variance (?2 ),Standard Deviation (?)
A_1500,45,34,45 - 34,(45 - 34)2,78.61,8.83
A_1501,34,,34 - 34,34 - 34)2,,
A_1502,32,,32 - 34,32 - 34)2,,
A_1503,56,,56 -34,56 -34)2,,
A_1504,44,,44 - 34,44 - 34,,
A_1505,33,,33 - 34,33 - 34,,
A_1506,22,,22 - 34,22 - 34,,
A_1507,31,,31 - 34,31 - 34,,
A_1508,44,,44 - 34,44 - 34,,
A_1509,30,,30 - 34,30 - 34,,
A_1510,20,,20 - 34,20 - 34,,
A_1511,25,,25 - 34,25 - 34,,
A_1512,25,,25 - 34,25 - 34,,
A_1513,24,,24 - 34,24 - 34,,
A_1514,28,,28 - 34,28 - 34,,
A_1515,31,,31 - 34,31 - 34,,
A_1516,34,,34 - 34,34 - 34,,
A_1517,38,,38 - 34,38 - 34,,
A_1518,39,,39 - 34,39 - 34,,
A_1519,42,,42 - 34,42 - 34,,
A_1520,42,,42 - 34,42 - 34,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Employee ID,Age,Median,,,,
A_1510,20,33,,,,
A_1506,22,,,,,
A_1513,24,,,,,
A_1511,25,,,,,
A_1512,25,,,,,
A_1514,28,,,,,
A_1509,30,,,,,
A_1507,31,,,,,
A_1515,31,,,,,
A_1502,32,,,,,
A_1505,33,,,,,
A_1501,34,,,,,
A_1516,34,,,,,
A_1517,38,,,,,
A_1518,39,,,,,
A_1519,42,,,,,
A_1520,42,,,,,
A_1504,44,,,,,
A_1508,44,,,,,
A_1500,45,,,,,
A_1503,56,,,,,
